county_id_fips,AVERAGE of GHG QUANTITY (METRIC TONS CO2e)
13213,929469.7083
13215,57305.53846
13217,40504.79167
13233,160421.9167
13235,27153.5
13237,2853504.857
13243,86758.75
13245,479843.0141
13247,27449
13251,37066.18182
13255,109382.4167
13261,235083.4167
13263,246049.3333
13269,355597.5
13275,33714.36842
13277,49197.75
13285,37281.47619
13289,112517.5417
13293,118379.7391
13297,74888.26829
13303,53710.91045
13305,129152.5417
13313,60691.7377
13319,103791.9375
15001,135287.3333
15003,466962.8324
15007,89778.14286
15009,165396.9167
16001,57891.69048
16005,33305.55263
16007,16634.08333
16011,38044.66667
16017,91849.6
16019,44025.5
16027,122919.38
16029,297449.625
16031,45123.02439
16039,65181.8
16047,43747.25
16051,5870.8
16053,30366.8
16055,175303.0833
16065,30010.85714
16067,191810.25
16069,281942.8333
16075,489113.2
16077,71527.89286
16083,126480.6176
17001,147740.5
17003,28548
17005,12063.75
17007,74962.58333
17017,39853.5
17019,131771.4516
17021,1321824.844
17025,6291.666667
17027,69547.33333
17029,11090.25
17031,109873.3895
17033,605966.439
17037,61204.05263
17039,105365.4444
17041,113335.4688
17043,71748.11538
17049,71137.91667
17051,29909.42105
17053,86206.77778
17055,737781
17057,1928551.154
17059,421572
17063,201599.0725
17073,112316.5116
17075,31857.57143
17077,134135.8056
17079,4850703.333
17081,68229
17085,726744.5833
17089,40704.41026
17091,48628.75758
17093,699047.1081
17095,76295.08333
17097,372954.8763
17099,107336.2347
17103,185153.5349
17105,73589
17107,74331.22727
17109,20717.45833
17111,27884
17113,19585.27778
17115,1356818.979
17117,62155.36364
17119,813050.1079
17121,6532.083333
17123,65976.58333
17125,2823404.182
17127,1334321.855
17131,46826
17135,1778083.452
17137,357341.6
17139,51793.75
17141,120984.2439
17143,560801.9048
17145,47981.65714
17147,21658.5
17149,52052
17153,238128.75
17155,726371.4571
17157,3199018.703
17159,1229.818182
17161,189184.1333
17163,109903.9351
17165,341768.4634
17167,621451.6087
17171,12949
17173,212319.5417
17177,59648.83333
17179,1262662.431
17183,51630.07792
17187,20920.6
17189,10781273.78
17193,129651.375
17195,79053.36111
17197,575434.5646
17199,1316497.391
17201,67160.55072
18001,97272.83333
18003,53181.3913
18005,38272.34286
18007,19202.57143
18017,155515.5833
18019,261914.0882
18023,66415.36111
18027,120728.375
18029,1004918.804
18031,33319.04762
18033,690807.3077
18035,40138.125
18037,16963.15385
18039,43898.91667
18041,39531.72727
18043,547350.75
18047,317219.2727
18049,78388.88889
18051,4095600.978
18053,102043.3333
18055,38898.03226
18057,364958.9167
18059,23367.5
18063,121671
18065,79066.16667
18067,34211.54545
18069,30718.21429
18071,197854.4167
18073,1569513.089
18075,72531.80851
18077,5914099.333
18083,683069.0962
18085,48498.72222
18089,1425120.55
18091,660860.1389
18093,208903
18095,85766.5098
18097,307453.5067
18099,129943.1667
18101,39158.45833
18103,526.3333333
18105,70549.33333
18107,190139.0345
18109,571476.625
18111,225968.1667
18121,41242.58333
18123,216489.8333
18125,2749374.75
18127,1792306.653
18129,654184.9265
18133,430697.0645
18135,114894.3889
18137,361.3636364
18141,180629.8571
18143,26615.57143
18145,89326.58824
18147,6324334.958
18149,20052.72727
18153,3030194.87
18157,127921.5495
18163,50066.8
18165,1492625.698
18167,853979.9149
18169,62240.95
18173,1829103.167
18175,156321.6667
18177,49361.51724
18179,87410.18182
18181,131974.3333
18183,258621.3333
19003,108978.4167
19005,1058186.417
19009,22375.36364
19013,45445.91489
19015,48849.875
19019,168807.75
19021,100648.375
19023,167231.4167
19027,26183.71429
19029,156434
19033,284079.8113
19035,165276.1667
19037,215938.25
19041,21002.75
19045,636839.9828
19047,61531.13793
19049,53134.5
19055,102158.8148
19057,314783.3276
19059,61270.7619
19061,48106.87097
19063,81386
19065,9265.2
19067,183061.5833
19071,90181.5
19073,163984.4167
19077,121080.3043
19079,101003.0909
19081,24142.33333
19083,88036.5
19093,112072.9167
19101,41280.88889
19103,109837.7083
19107,82520
19109,142329.1667
19111,457271.5714
19113,427136.4113
19115,1631303.067
19123,714796.3333
19125,36597.2963
19127,217097.3333
19129,84029.70588
19131,169034.25
19135,122298.8
19139,333336.0889
19141,122748.25
19143,92174.18182
19145,90629
19147,49239.61538
19149,68549.08333
19153,47670.07432
19155,2628067.744
19163,255238.9032
19167,54182.95238
19169,169296.0816
19171,24136.42857
19175,32724.25
19177,58657.33333
19179,1132248.66
19181,60074.91667
19185,47544.5
19187,218308.8
19189,45526.75
19191,37058.5
19193,1422581.155
19195,90309.58333
19197,118421
20001,355846.8333
20003,39573.13043
