,Plant state abbreviation,Plant county name,Number of Power Plants,Powerplant Rank
970,OH,Fulton,1,5
971,OH,Gallia,2,5
972,OH,Hamilton,4,5
973,OH,Henry,2,5
974,OH,Jefferson,2,5
975,OH,Lake,2,5
976,OH,Lawrence,1,5
977,OH,Logan,1,5
978,OH,Lorain,5,5
979,OH,Lucas,4,5
980,OH,Mahoning,2,5
981,OH,Marion,2,5
982,OH,Medina,1,5
983,OH,Miami,1,5
984,OH,Monroe,1,5
985,OH,Montgomery,4,5
986,OH,Muskingum,1,5
987,OH,Ottawa,2,5
988,OH,Perry,1,5
989,OH,Pickaway,1,5
990,OH,Portage,1,5
991,OH,Richland,5,5
992,OH,Ross,1,5
993,OH,Sandusky,1,5
994,OH,Scioto,1,5
995,OH,Shelby,2,5
996,OH,Summit,2,5
997,OH,Trumbull,3,5
998,OH,Tuscarawas,2,5
999,OH,Van Wert,1,5
1000,OH,Vinton,1,5
1001,OH,Washington,2,5
1002,OH,Wayne,4,5
1003,OH,Williams,6,5
1004,OH,Wood,3,5
1005,OK,Caddo,3,5
1006,OK,Canadian,2,5
1007,OK,Choctaw,1,5
1008,OK,Cleveland,1,5
1009,OK,Comanche,1,5
1010,OK,Greer,1,5
1011,OK,Harper,1,5
1012,OK,Kay,2,5
1013,OK,Kingfisher,1,5
1014,OK,Le Flore,1,5
1015,OK,Logan,1,5
1016,OK,Mayes,2,5
1017,OK,McClain,1,5
1018,OK,McCurtain,1,5
1019,OK,Muskogee,2,5
1020,OK,Noble,1,5
1021,OK,Okfuskee,1,5
1022,OK,Oklahoma,4,5
1023,OK,Osage,2,5
1024,OK,Payne,4,5
1025,OK,Pittsburg,1,5
1026,OK,Rogers,1,5
1027,OK,Seminole,1,5
1028,OK,Tulsa,4,5
1029,OK,Wagoner,1,5
1030,OK,Woods,1,5
1031,OK,Woodward,1,5
1032,OR,Benton,2,5
1033,OR,Clatsop,1,5
1034,OR,Columbia,3,5
1035,OR,Douglas,3,5
1036,OR,Gilliam,1,5
1037,OR,Jackson,2,5
1038,OR,Klamath,2,5
1039,OR,Lane,5,5
1040,OR,Linn,1,5
1041,OR,MARION,1,5
1042,OR,Morrow,6,5
1043,OR,Umatilla,2,5
1044,OR,Washington,1,5
1045,OR,Yamhill,1,5
1046,PA,Adams,4,5
1047,PA,Allegheny,7,5
1048,PA,Armstrong,2,5
1049,PA,Beaver,1,5
1050,PA,Berks,5,5
1051,PA,Blair,1,5
1052,PA,Bradford,6,5
1053,PA,Bucks,6,5
1054,PA,Cambria,4,5
1055,PA,Carbon,1,5
1056,PA,Centre,2,5
1057,PA,Chester,2,5
1058,PA,Clearfield,1,5
1059,PA,Cumberland,4,5
1060,PA,Dauphin,4,5
1061,PA,Delaware,6,5
1062,PA,Elk,1,5
1063,PA,Erie,1,5
1064,PA,FAYETTE,1,5
1065,PA,Fayette,1,5
1066,PA,Franklin,5,5
1067,PA,Indiana,4,5
1068,PA,Lackawanna,3,5
1069,PA,Lancaster,6,5
1070,PA,Lawrence,1,5
1071,PA,Lebanon,2,5
1072,PA,Lehigh,1,5
1073,PA,Luzerne,6,5
1074,PA,Lycoming,4,5
1075,PA,Mercer,1,5
1076,PA,Monroe,1,5
1077,PA,Montgomery,5,5
1078,PA,Montour,1,5
1079,PA,Northampton,8,5
1080,PA,Northumberland,1,5
1081,PA,Philadelphia,11,5
1082,PA,Schuylkill,7,5
1083,PA,Snyder,2,5
1084,PA,Somerset,1,5
1085,PA,Susquehanna,1,5
1086,PA,Tioga,1,5
1087,PA,Union,1,5
1088,PA,Venango,2,5
1089,PA,Warren,1,5
1090,PA,Washington,1,5
1091,PA,Westmoreland,1,5
1092,PA,Wyoming,2,5
1093,PA,York,6,5
1094,PR,Arecibo,1,5
1095,PR,Caguas,1,5
1096,PR,Canovanas,1,5
1097,PR,Culebra,1,5
1098,PR,Cupey,1,5
1099,PR,Fajardo,1,5
1100,PR,Guayama,1,5
1101,PR,Gurabo,1,5
1102,PR,Humacao,1,5
1103,PR,Penuelas,1,5
1104,PR,Salinas,1,5
1105,RI,Newport,1,5
1106,RI,Providence,9,5
1107,RI,Washington,2,5
1108,SC,Abbeville,1,5
1109,SC,Aiken,2,5
1110,SC,Allendale,1,5
1111,SC,Anderson,4,5
1112,SC,Beaufort,2,5
1113,SC,Berkeley,3,5
1114,SC,Calhoun,1,5
1115,SC,Charleston,2,5
1116,SC,Cherokee,3,5
1117,SC,Darlington,2,5
1118,SC,Dorchester,1,5
1119,SC,Fairfield,1,5
1120,SC,Florence,1,5
1121,SC,Georgetown,2,5
1122,SC,Greenville,1,5
1123,SC,Horry,2,5
1124,SC,Jasper,1,5
1125,SC,Lee,1,5
1126,SC,Lexington,1,5
1127,SC,Oconee,2,5
1128,SC,Orangeburg,5,5
1129,SC,Pickens,1,5
1130,SC,Richland,4,5
1131,SC,Spartanburg,4,5
1132,SC,Union,3,5
1133,SC,York,2,5
1134,SD,Beadle,2,5
1135,SD,Brookings,1,5
1136,SD,Brown,2,5
1137,SD,Clark,1,5
1138,SD,Clay,1,5
1139,SD,Codington,1,5
1140,SD,Faulk,1,5
1141,SD,Grant,3,5
1142,SD,Kingsbury,1,5
1143,SD,Lincoln,1,5
1144,SD,Minnehaha,1,5
1145,SD,Pennington,2,5
1146,SD,Stanley,1,5
1147,SD,Yankton,1,5
1148,TN,Anderson,2,5
1149,TN,Benton,1,5
1150,TN,Davidson,2,5
1151,TN,Hancock,1,5
1152,TN,Hardin,1,5
1153,TN,Hawkins,1,5
1154,TN,Haywood,2,5
1155,TN,Humphreys,1,5
1156,TN,Knox,1,5
1157,TN,Loudon,1,5
1158,TN,McMinn,1,5
1159,TN,Montgomery,1,5
1160,TN,Roane,1,5
1161,TN,Rutherford,1,5
1162,TN,Shelby,1,5
1163,TN,Stewart,1,5
1164,TN,Sullivan,2,5
1165,TN,Sumner,1,5
1166,TN,Warren,1,5
1167,TN,Washington,1,5
1168,TN,Weakley,1,5
1169,TX,Atascosa,1,5
1170,TX,Bastrop,3,5
1171,TX,Bell,1,5
1172,TX,Bexar,8,5
1173,TX,Bosque,1,5
1174,TX,Brazoria,7,5
1175,TX,Brazos,3,5
1176,TX,Calhoun,5,5
1177,TX,Cameron,1,5
1178,TX,Cass,1,5
1179,TX,Chambers,5,5
1180,TX,Cherokee,1,5
1181,TX,Coke,1,5
1182,TX,Collin,1,5
1183,TX,Colorado,1,5
1184,TX,Comal,1,5
1185,TX,Dallas,5,5
1186,TX,Denton,5,5
1187,TX,Ector,3,5
1188,TX,El Paso,5,5
1189,TX,Ellis,2,5
1190,TX,Fayette,2,5
1191,TX,Fort Bend,3,5
1192,TX,Freestone,1,5
1193,TX,Frio,1,5
1194,TX,Galveston,5,5
1195,TX,Goliad,1,5
1196,TX,Grayson,1,5
1197,TX,Gregg,1,5
1198,TX,Grimes,1,5
1199,TX,Guadalupe,2,5
1200,TX,Hale,2,5
1201,TX,Hardin,1,5
1202,TX,Harris,23,3
1203,TX,Harrison,4,5
1204,TX,Hays,1,5
1205,TX,Hemphill,1,5
1206,TX,Henderson,1,5
1207,TX,Hidalgo,4,5
1208,TX,Hood,3,5
1209,TX,Howard,1,5
1210,TX,Hunt,1,5
1211,TX,Hutchinson,3,5
1212,TX,Jasper,1,5
1213,TX,Jefferson,8,5
1214,TX,Johnson,1,5
1215,TX,Kaufman,1,5
1216,TX,Lamar,2,5
1217,TX,Lamb,2,5
1218,TX,Limestone,1,5
1219,TX,Llano,1,5
1220,TX,Lubbock,3,5
1221,TX,Marion,1,5
1222,TX,McLennan,1,5
1223,TX,Mitchell,1,5
1224,TX,Montgomery,2,5
1225,TX,Morris,1,5
1226,TX,Nacogdoches,1,5
1227,TX,Newton,1,5
1228,TX,Nueces,7,5
1229,TX,Orange,4,5
1230,TX,Palo Pinto,1,5
1231,TX,Parker,1,5
1232,TX,Pecos,1,5
1233,TX,Potter,2,5
1234,TX,Robertson,2,5
1235,TX,Rusk,2,5
1236,TX,San Jacinto,1,5
1237,TX,San Patricio,2,5
1238,TX,Scurry,1,5
1239,TX,Tarrant,2,5
1240,TX,Titus,1,5
1241,TX,Travis,6,5
1242,TX,Victoria,4,5
1243,TX,Ward,1,5
1244,TX,Webb,1,5
1245,TX,Wharton,3,5
1246,TX,Wichita,2,5
1247,TX,Wilbarger,1,5
1248,TX,Wise,3,5
1249,TX,Yoakum,3,5
1250,TX,Young,1,5
1251,UT,Beaver,1,5
1252,UT,Cache,2,5
1253,UT,Carbon,1,5
1254,UT,Davis,2,5
1255,UT,Emery,2,5
1256,UT,Juab,1,5
1257,UT,Millard,1,5
1258,UT,Salt Lake,10,5
1259,UT,Tooele,1,5
1260,UT,Uintah,1,5
1261,UT,Utah,5,5
1262,UT,Wasatch,1,5
1263,UT,Washington,4,5
1264,VA,Accomack,6,5
1265,VA,Alexandria City,1,5
1266,VA,Alleghany,1,5
1267,VA,Amelia,2,5
1268,VA,Bedford,2,5
1269,VA,Bristol City,1,5
1270,VA,Brunswick,2,5
1271,VA,Buchanan,1,5
1272,VA,Buckingham,1,5
1273,VA,Campbell,1,5
1274,VA,Caroline,1,5
1275,VA,Charles City,1,5
1276,VA,Chesapeake City,2,5
1277,VA,Chesterfield,3,5
1278,VA,Covington City,1,5
1279,VA,Culpeper,1,5
1280,VA,Danville City,1,5
1281,VA,Dinwiddie,1,5
1282,VA,Fairfax,3,5
1283,VA,Fauquier,2,5
1284,VA,Fluvanna,1,5
1285,VA,Frederick,2,5
1286,VA,Giles,1,5
1287,VA,Goochland,1,5
1288,VA,Greensville,1,5
1289,VA,Halifax,2,5
1290,VA,Hampton City,1,5
1291,VA,Hanover,1,5
1292,VA,Henrico,3,5
1293,VA,Henry,1,5
1294,VA,Highland,1,5
1295,VA,Hopewell City,3,5
1296,VA,Isle of Wight,1,5
1297,VA,King George,2,5
1298,VA,King William,1,5
1299,VA,King and Queen,1,5
1300,VA,Loudoun,1,5
1301,VA,Louisa,2,5
1302,VA,Middlesex,1,5
1303,VA,Montgomery,2,5
1304,VA,Northampton,1,5
1305,VA,Portsmouth City,1,5
1306,VA,Prince George,1,5
1307,VA,Prince William,9,5
1308,VA,Pulaski,1,5
1309,VA,Richmond,1,5
1310,VA,Richmond City,1,5
1311,VA,Rockingham,4,5
1312,VA,Russell,1,5
1313,VA,Salem City,3,5
1314,VA,Southampton,4,5
1315,VA,Stafford,1,5
1316,VA,Suffolk City,1,5
1317,VA,Surry,1,5
1318,VA,Virginia Beach City,1,5
1319,VA,Warren,1,5
1320,VA,Washington,1,5
1321,VA,Wise,1,5
1322,VA,York,1,5
1323,VT,Addison,2,5
1324,VT,Caledonia,1,5
1325,VT,Chittenden,4,5
1326,VT,Franklin,1,5
1327,VT,Orleans,1,5
1328,VT,Rutland,1,5
1329,VT,Washington,2,5
1330,VT,Windsor,1,5
1331,WA,Clark,1,5
1332,WA,Cowlitz,3,5
1333,WA,Grays Harbor,3,5
1334,WA,Jefferson,1,5
1335,WA,King,2,5
1336,WA,Klickitat,1,5
1337,WA,Lewis,2,5
1338,WA,Pierce,5,5
1339,WA,Skagit,3,5
1340,WA,Snohomish,1,5
1341,WA,Spokane,3,5
1342,WA,Stevens,1,5
1343,WA,Whatcom,4,5
1344,WA,Whitman,1,5
1345,WI,Ashland,1,5
1346,WI,Barron,1,5
1347,WI,Brown,4,5
1348,WI,Buffalo,1,5
1349,WI,Burnett,1,5
1350,WI,Calumet,2,5
1351,WI,Chippewa,2,5
1352,WI,Columbia,1,5
1353,WI,Dane,11,5
1354,WI,Door,1,5
1355,WI,Fond Du Lac,1,5
1356,WI,Grant,1,5
1357,WI,Green Lake,1,5
1358,WI,Jefferson,3,5
1359,WI,Juneau,2,5
1360,WI,Kenosha,2,5
1361,WI,La Crosse,2,5
1362,WI,Lafayette,1,5
1363,WI,Lincoln,1,5
1364,WI,Manitowoc,4,5
1365,WI,Marathon,5,5
1366,WI,Marinette,1,5
1367,WI,Milwaukee,7,5
1368,WI,Oneida,1,5
1369,WI,Outagamie,6,5
1370,WI,Ozaukee,1,5
1371,WI,Polk,1,5
1372,WI,Portage,1,5
1373,WI,Racine,1,5
1374,WI,Richland,1,5
1375,WI,Rock,5,5
1376,WI,Rusk,1,5
1377,WI,Sawyer,1,5
1378,WI,Sheboygan,2,5
1379,WI,Trempealeau,1,5
1380,WI,Vernon,1,5
1381,WI,Washington,3,5
1382,WI,Winnebago,3,5
1383,WI,Wood,5,5
1384,WV,Grant,1,5
1385,WV,Harrison,1,5
1386,WV,Marion,1,5
1387,WV,Marshall,2,5
1388,WV,Mason,1,5
1389,WV,Monongalia,3,5
1390,WV,Pleasants,2,5
1391,WV,Putnam,1,5
1392,WV,Wayne,2,5
1393,WY,Campbell,9,5
1394,WY,Carbon,1,5
1395,WY,Converse,1,5
1396,WY,Fremont,2,5
1397,WY,Laramie,1,5
1398,WY,Lincoln,2,5
1399,WY,Park,1,5
1400,WY,Platte,1,5
1401,WY,Sheridan,1,5
1402,WY,Sweetwater,4,5
1403,WY,Teton,2,5
