,Plant state abbreviation,Plant county name,Number of Power Plants,Powerplant Rank
189,FL,Miami Dade,5,5
190,FL,Monroe,2,5
191,FL,Nassau,3,5
192,FL,Okeechobee,1,5
193,FL,Orange,5,5
194,FL,Osceola,3,5
195,FL,Palm Beach,6,5
196,FL,Pasco,3,5
197,FL,Pinellas,4,5
198,FL,Polk,11,5
199,FL,Putnam,2,5
200,FL,Santa Rosa,2,5
201,FL,Sarasota,1,5
202,FL,Seminole,1,5
203,FL,St Lucie,1,5
204,FL,Suwannee,1,5
205,FL,Taylor,1,5
206,FL,Volusia,3,5
207,FL,Wakulla,1,5
208,GA,Barrow,1,5
209,GA,Bartow,1,5
210,GA,Bibb,1,5
211,GA,Burke,1,5
212,GA,Camden,1,5
213,GA,Chatham,5,5
214,GA,Clarke,1,5
215,GA,Cobb,1,5
216,GA,Coweta,1,5
217,GA,DeKalb,2,5
218,GA,Decatur,1,5
219,GA,Dougherty,2,5
220,GA,Early,1,5
221,GA,Effingham,4,5
222,GA,Floyd,2,5
223,GA,Franklin,1,5
224,GA,Fulton,4,5
225,GA,Glynn,2,5
226,GA,Gwinnett,2,5
227,GA,Hart,1,5
228,GA,Heard,6,5
229,GA,Houston,2,5
230,GA,Jackson,1,5
231,GA,Lamar,1,5
232,GA,Laurens,1,5
233,GA,Liberty,1,5
234,GA,Lowndes,2,5
235,GA,Macon,1,5
236,GA,Madison,1,5
237,GA,Mitchell,2,5
238,GA,Monroe,2,5
239,GA,Murray,1,5
240,GA,Muscogee,1,5
241,GA,Polk,1,5
242,GA,RABUN,1,5
243,GA,Richmond,1,5
244,GA,Spalding,1,5
245,GA,Talbot,1,5
246,GA,Taylor,1,5
247,GA,Twiggs,1,5
248,GA,Upson,1,5
249,GA,Walton,3,5
250,GA,Washington,2,5
251,GA,Wayne,1,5
252,GA,Worth,1,5
253,HI,Hawaii,6,5
254,HI,Honolulu,10,5
255,HI,Kauai,3,5
256,HI,Maui,5,5
257,IA,Adair,2,5
258,IA,Adams,1,5
259,IA,Allamakee,2,5
260,IA,Audubon,1,5
261,IA,Benton,1,5
262,IA,Black Hawk,6,5
263,IA,Boone,1,5
264,IA,Bremer,3,5
265,IA,Buena Vista,1,5
266,IA,Carroll,2,5
267,IA,Cass,2,5
268,IA,Cedar,2,5
269,IA,Cerro Gordo,2,5
270,IA,Chickasaw,1,5
271,IA,Clay,2,5
272,IA,Clayton,2,5
273,IA,Clinton,1,5
274,IA,Crawford,1,5
275,IA,Decatur,1,5
276,IA,Delaware,2,5
277,IA,Des Moines,1,5
278,IA,Dickinson,2,5
279,IA,Dubuque,4,5
280,IA,Emmet,1,5
281,IA,Floyd,2,5
282,IA,GUTHRIE,1,5
283,IA,Greene,1,5
284,IA,Grundy,2,5
285,IA,Guthrie,1,5
286,IA,Hamilton,2,5
287,IA,Henry,1,5
288,IA,Howard,1,5
289,IA,Iowa,1,5
290,IA,Jackson,2,5
291,IA,Johnson,4,5
292,IA,Kossuth,2,5
293,IA,Lee,1,5
294,IA,Linn,12,4
295,IA,Louisa,1,5
296,IA,Lyon,1,5
297,IA,Madison,1,5
298,IA,Marion,2,5
299,IA,Marshall,4,5
300,IA,Mitchell,1,5
301,IA,Monroe,1,5
302,IA,Montgomery,1,5
303,IA,Muscatine,3,5
304,IA,Osceola,3,5
305,IA,Page,1,5
306,IA,Palo Alto,2,5
307,IA,Pocahontas,2,5
308,IA,Polk,8,5
309,IA,Pottawattamie,1,5
310,IA,Poweshiek,2,5
311,IA,Scott,3,5
312,IA,Story,5,5
313,IA,Tama,3,5
314,IA,Taylor,1,5
315,IA,Union,1,5
316,IA,Wapello,1,5
317,IA,Warren,1,5
318,IA,Webster,2,5
319,IA,Winnebago,3,5
320,IA,Woodbury,2,5
321,IA,Worth,1,5
322,IA,Wright,1,5
323,ID,Adams,1,5
324,ID,Bannock,1,5
325,ID,Benewah,1,5
326,ID,Canyon,1,5
327,ID,Cassia,1,5
328,ID,Elmore,2,5
329,ID,Gooding,2,5
330,ID,JEFFERSON,1,5
331,ID,Jerome,1,5
332,ID,Kootenai,3,5
333,ID,Lemhi,1,5
334,ID,Madison,1,5
335,ID,Nez Perce,1,5
336,ID,Payette,1,5
337,ID,Twin Falls,2,5
338,IL,Bureau,1,5
339,IL,Champaign,3,5
340,IL,Christian,2,5
341,IL,Clark,2,5
342,IL,Clay,4,5
343,IL,Clinton,2,5
344,IL,Cook,16,4
345,IL,DeWitt,1,5
346,IL,Dewitt,1,5
347,IL,Douglas,1,5
348,IL,DuPage,5,5
349,IL,Effingham,1,5
350,IL,Fayette,1,5
351,IL,Ford,1,5
352,IL,Fulton,1,5
353,IL,Grundy,1,5
354,IL,Hamilton,1,5
355,IL,Henry,1,5
356,IL,Jackson,2,5
357,IL,Jasper,1,5
358,IL,Kane,7,5
359,IL,Kankakee,1,5
360,IL,Kendall,1,5
361,IL,LaSalle,1,5
362,IL,Lake,6,5
363,IL,Lee,2,5
364,IL,Livingston,1,5
365,IL,Macon,2,5
366,IL,Madison,3,5
367,IL,Marion,1,5
368,IL,Mason,1,5
369,IL,Massac,2,5
370,IL,McDonough,1,5
371,IL,McHenry,1,5
372,IL,McLean,1,5
373,IL,Monroe,1,5
374,IL,Montgomery,1,5
375,IL,Moultrie,1,5
376,IL,Ogle,5,5
377,IL,Peoria,2,5
378,IL,Perry,1,5
379,IL,Piatt,1,5
380,IL,Pike,1,5
381,IL,Putnam,1,5
382,IL,Randolph,2,5
383,IL,Rock Island,2,5
384,IL,Sangamon,4,5
385,IL,Scott,1,5
386,IL,Shelby,2,5
387,IL,St Clair,3,5
388,IL,Stephenson,1,5
389,IL,Tazewell,2,5
390,IL,Vermilion,1,5
391,IL,Wayne,1,5
392,IL,White,1,5
393,IL,Whiteside,2,5
394,IL,Will,10,5
395,IL,Williamson,1,5
396,IL,Winnebago,4,5
397,IN,Adams,1,5
398,IN,Cass,1,5
399,IN,Dearborn,1,5
400,IN,Elkhart,2,5
401,IN,Floyd,1,5
402,IN,Gibson,1,5
403,IN,Greene,1,5
404,IN,Hamilton,1,5
405,IN,Hendricks,2,5
406,IN,Henry,1,5
407,IN,Jasper,5,5
408,IN,Jay,1,5
409,IN,Jefferson,1,5
410,IN,Johnson,1,5
411,IN,Knox,2,5
412,IN,LaPorte,2,5
413,IN,Lake,5,5
414,IN,Lawrence,1,5
415,IN,Madison,1,5
416,IN,Marion,4,5
417,IN,Marshall,1,5
418,IN,Morgan,1,5
419,IN,Pike,2,5
420,IN,Porter,2,5
421,IN,Posey,2,5
422,IN,Spencer,1,5
423,IN,St Joseph,3,5
424,IN,Sullivan,1,5
425,IN,Tippecanoe,3,5
426,IN,Vermillion,2,5
427,IN,Vigo,2,5
428,IN,Warrick,2,5
429,IN,Wayne,2,5
430,IN,Wells,1,5
431,IN,White,2,5
432,KS,Allen,1,5
433,KS,Barton,3,5
434,KS,Butler,3,5
435,KS,Cherokee,1,5
436,KS,Clark,1,5
437,KS,Clay,1,5
438,KS,Coffey,3,5
439,KS,Cowley,1,5
440,KS,Crawford,2,5
441,KS,Decatur,1,5
442,KS,Douglas,3,5
443,KS,Ellis,1,5
444,KS,Finney,4,5
445,KS,Ford,1,5
446,KS,Franklin,1,5
447,KS,Graham,1,5
448,KS,Grant,1,5
449,KS,Harper,1,5
450,KS,Hodgeman,1,5
451,KS,Jackson,1,5
452,KS,Johnson,2,5
453,KS,Kingman,1,5
454,KS,Lincoln,1,5
455,KS,Linn,1,5
456,KS,Lyon,1,5
457,KS,McPherson,2,5
458,KS,Meade,1,5
459,KS,Miami,4,5
460,KS,Mitchell,1,5
461,KS,Montgomery,2,5
462,KS,Nemaha,1,5
463,KS,Neosho,4,5
464,KS,Osage,2,5
465,KS,Osborne,1,5
466,KS,Ottawa,1,5
467,KS,Pawnee,1,5
468,KS,Phillips,1,5
469,KS,Pottawatomie,2,5
470,KS,Pratt,2,5
471,KS,Reno,1,5
472,KS,Republic,1,5
473,KS,Rice,1,5
474,KS,Rooks,1,5
475,KS,Rush,1,5
476,KS,Russell,2,5
477,KS,Sedgwick,2,5
478,KS,Seward,2,5
479,KS,Shawnee,1,5
480,KS,Sherman,1,5
481,KS,Stafford,2,5
482,KS,Stanton,1,5
483,KS,Stevens,1,5
484,KS,Sumner,2,5
485,KS,Thomas,2,5
486,KS,Washington,2,5
487,KS,Wyandotte,2,5
488,KY,Barren,1,5
489,KY,Boone,2,5
490,KY,Bourbon,1,5
491,KY,Carroll,1,5
492,KY,Clark,1,5
493,KY,Daviess,1,5
494,KY,Estill,1,5
495,KY,Fayette,1,5
496,KY,Greenup,1,5
497,KY,Hancock,1,5
498,KY,Hardin,1,5
499,KY,Henderson,1,5
500,KY,Jefferson,4,5
501,KY,Laurel,1,5
502,KY,Lawrence,2,5
503,KY,Marshall,2,5
504,KY,Mason,1,5
505,KY,McCracken,2,5
506,KY,Mercer,1,5
507,KY,Muhlenberg,1,5
508,KY,Ohio,1,5
509,KY,Oldham,1,5
510,KY,Pendleton,1,5
511,KY,Pulaski,1,5
